Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::__normal_iterator<Gate* const*, std::vector<Gate*, std::allocator<Gate*> > >::difference_type __gnu_cxx::operator-<Gate* const*, Gate* const*, std::vector<Gate*, std::allocator<Gate*> > >(__gnu_cxx::__normal_iterator<Gate* const*, std::vector<Gate*, std::allocator<Gate*> > > const&, __gnu_cxx::__normal_iterator<Gate* const*, std::vector<Gate*, std::allocator<Gate*> > > const&)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<Wire*>::max_size() const
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00      0.00     0.00        5     0.00     0.00  std::vector<Gate*, std::allocator<Gate*> >::end() const
  0.00      0.00     0.00        5     0.00     0.00  std::vector<Gate*, std::allocator<Gate*> >::size() const
  0.00      0.00     0.00        5     0.00     0.00  std::vector<Gate*, std::allocator<Gate*> >::begin() const
  0.00      0.00     0.00        5     0.00     0.00  std::vector<Wire*, std::allocator<Wire*> >::max_size() const
  0.00      0.00     0.00        5     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00      0.00     0.00        5     0.00     0.00  std::allocator<double>::~allocator()
  0.00      0.00     0.00        5     0.00     0.00  std::_Vector_base<Gate*, std::allocator<Gate*> >::_M_deallocate(Gate**, unsigned int)
  0.00      0.00     0.00        5     0.00     0.00  std::_Vector_base<Wire*, std::allocator<Wire*> >::_M_allocate(unsigned int)
  0.00      0.00     0.00        5     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned int)
  0.00      0.00     0.00        5     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  0.00      0.00     0.00        5     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00        5     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned int)
  0.00      0.00     0.00        5     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned int, std::allocator<double> const&)
  0.00      0.00     0.00        5     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00      0.00     0.00        5     0.00     0.00  std::vector<Wire*, std::allocator<Wire*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, Wire* const&)
  0.00      0.00     0.00        5     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00      0.00     0.00        5     0.00     0.00  void std::__destroy_aux<__gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > > >(__gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, __true_type)
  0.00      0.00     0.00        5     0.00     0.00  void std::__destroy_aux<double*>(double*, double*, __true_type)
  0.00      0.00     0.00        5     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > > >(__gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >)
